State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
CT,4,4,65,38
CT,4,5,93,48
CT,4,6,204,116
CT,4,7,373,190
CT,4,8,398,173
CT,4,9,112,59
CT,4,10,167,92
CT,4,11,178,75
CT,4,12,165,115
CT,4,13,217,136
CT,4,14,288,183
CT,4,15,353,259
CT,4,16,402,280
CT,4,17,422,289
CT,4,18,301,220
CT,4,19,154,100
CT,4,20,104,71
CT,4,21,80,65
CT,4,22,61,45
CT,4,23,18,13
CT,5,0,1,0
CT,5,1,2,2
CT,5,2,3,3
CT,5,3,1,1
CT,5,5,1,1
CT,5,6,3,2
CT,5,7,52,40
CT,5,8,63,49
CT,5,9,46,30
CT,5,10,76,51
CT,5,11,86,65
CT,5,12,104,75
CT,5,13,109,74
CT,5,14,116,90
CT,5,15,158,119
CT,5,16,149,116
CT,5,17,126,98
CT,5,18,102,84
CT,5,19,71,56
CT,5,20,44,33
CT,5,21,65,54
CT,5,22,67,60
CT,5,23,4,2
CT,6,0,1,1
CT,6,1,3,3
CT,6,2,5,3
CT,6,4,1,1
CT,6,5,2,2
CT,6,6,3,3
CT,6,7,67,54
CT,6,8,53,36
CT,6,9,58,44
CT,6,10,45,30
CT,6,11,69,48
CT,6,12,113,81
CT,6,13,88,52
CT,6,14,119,76
CT,6,15,94,73
CT,6,16,105,84
CT,6,17,87,70
CT,6,18,90,73
CT,6,19,68,54
CT,6,20,62,52
CT,6,21,64,50
CT,6,22,57,46
CT,6,23,1,1
DC,0,4,37,5
DC,0,5,52,13
DC,0,6,89,18
DC,0,7,118,23
DC,0,8,142,20
DC,0,9,37,5
DC,0,10,29,5
DC,0,11,15,2
DC,0,12,3,2
DC,0,13,8,5
DC,0,14,16,10
DC,0,15,11,3
DC,0,16,10,7
DC,0,17,21,5
DC,0,18,12,2
DC,0,19,7,2
DC,0,20,4,3
DC,0,21,10,3
DC,0,22,3,0
DC,1,4,32,8
DC,1,5,50,10
DC,1,6,111,19
DC,1,7,159,29
DC,1,8,204,17
DC,1,9,42,9
DC,1,10,32,5
DC,1,11,21,6
DC,1,12,4,0
DC,1,13,4,1
DC,1,14,16,9
DC,1,15,11,8
DC,1,16,9,5
DC,1,17,14,4
DC,1,18,12,3
DC,1,19,11,7
DC,1,20,7,4
DC,1,21,4,1
DC,1,22,7,0
DC,1,23,2,0
DC,2,3,1,1
DC,2,4,20,1
DC,2,5,51,8
DC,2,6,104,21
DC,2,7,166,26
DC,2,8,162,21
DC,2,9,45,13
DC,2,10,31,9
DC,2,11,26,6
DC,2,12,5,3
DC,2,13,7,4
DC,2,14,23,9
DC,2,15,14,7
DC,2,16,12,7
DC,2,17,17,3
DC,2,18,25,7
DC,2,19,11,5
DC,2,20,12,8
DC,2,21,4,1
DC,2,22,8,1
DC,3,4,25,3
DC,3,5,55,7
DC,3,6,127,17
DC,3,7,155,20
DC,3,8,178,18
DC,3,9,37,6
DC,3,10,41,8
DC,3,11,16,2
DC,3,12,4,0
DC,3,13,3,1
DC,3,14,18,11
DC,3,15,15,6
DC,3,16,15,6
DC,3,17,25,4
DC,3,18,13,3
DC,3,19,6,2
DC,3,20,13,2
DC,3,21,9,3
DC,3,22,3,1
DC,4,4,34,1
DC,4,5,43,7
DC,4,6,97,19
DC,4,7,131,17
DC,4,8,133,13
DC,4,9,35,4
DC,4,10,36,6
DC,4,11,15,0
DC,4,12,5,2
DC,4,13,12,10
DC,4,14,14,5
DC,4,15,7,4
DC,4,16,8,5
DC,4,17,20,4
DC,4,18,17,5
DC,4,19,4,0
DC,4,20,11,2
DC,4,21,7,0
DC,4,22,5,1
DC,5,6,2,1
DC,5,7,3,2
DC,5,8,4,3
DC,5,9,11,3
DC,5,10,4,3
DC,5,11,8,2
DC,5,12,6,3
DC,5,13,7,4
DC,5,14,6,2
DC,5,15,4,2
DC,5,16,3,1
DC,5,17,4,3
DC,5,18,3,1
DC,5,19,1,1
DC,5,20,2,2
DC,5,21,2,2
DC,5,22,3,2
DC,6,7,3,1
DC,6,8,6,2
DC,6,9,9,2
DC,6,10,10,6
DC,6,11,10,3
DC,6,12,5,3
DC,6,13,5,1
DC,6,14,8,6
DC,6,15,3,3
DC,6,16,2,1
DC,6,17,4,3
DC,6,18,3,3
DC,6,19,4,3
DC,6,20,1,1
DC,6,21,1,1
DC,6,22,2,2
DE,0,1,1,1
DE,0,4,29,1
DE,0,5,29,4
DE,0,6,103,13
DE,0,7,203,5
DE,0,8,257,13
DE,0,9,45,1
DE,0,10,130,1
DE,0,11,116,0
DE,0,12,30,3
DE,0,13,32,3
DE,0,14,25,4
DE,0,15,14,1
DE,0,16,28,1
DE,0,17,56,4
DE,0,18,37,4
DE,0,19,41,2
DE,0,20,25,0
DE,0,21,22,2
DE,0,22,22,1
DE,1,2,1,1
DE,1,4,27,2
DE,1,5,24,3
DE,1,6,101,6
DE,1,7,176,11
DE,1,8,233,8
DE,1,9,52,3
DE,1,10,113,2
DE,1,11,107,0
DE,1,12,31,1
DE,1,13,26,1
DE,1,14,25,1
DE,1,15,15,1
DE,1,16,17,0
DE,1,17,61,3
DE,1,18,26,2
DE,1,19,44,5
DE,1,20,39,0
DE,1,21,11,0
DE,1,22,23,0
DE,1,23,1,0
DE,2,3,2,0
DE,2,4,26,2
DE,2,5,39,0
DE,2,6,129,9
DE,2,7,241,4
DE,2,8,281,5
DE,2,9,37,2
DE,2,10,126,2
DE,2,11,126,7
DE,2,12,23,2
DE,2,13,24,2
DE,2,14,27,0
DE,2,15,15,1
DE,2,16,31,3
DE,2,17,68,5
DE,2,18,19,0
DE,2,19,34,0
DE,2,20,29,0
DE,2,21,8,1
DE,2,22,15,0
DE,2,23,2,0
DE,3,4,34,0
DE,3,5,36,4
DE,3,6,91,6
DE,3,7,209,5
DE,3,8,246,10
DE,3,9,41,0
DE,3,10,113,2
DE,3,11,104,1
DE,3,12,28,1
DE,3,13,38,1
DE,3,14,31,1
DE,3,15,18,1
DE,3,16,32,3
DE,3,17,52,1
DE,3,18,28,1
DE,3,19,32,0
DE,3,20,24,1
DE,3,21,16,1
DE,3,22,11,2
DE,4,4,42,3
DE,4,5,34,2
DE,4,6,85,4
DE,4,7,180,6
DE,4,8,250,9
DE,4,9,39,2
DE,4,10,94,3
DE,4,11,117,5
DE,4,12,30,2
DE,4,13,39,2
DE,4,14,29,0
DE,4,15,27,2
DE,4,16,42,1
DE,4,17,64,5
DE,4,18,58,2
DE,4,19,51,0
DE,4,20,36,2
DE,4,21,9,2
DE,4,22,23,3
DE,5,0,2,2
DE,5,6,1,0
DE,5,7,5,1
DE,5,8,6,0
DE,5,9,10,4
DE,5,10,7,2
DE,5,11,6,0
DE,5,12,9,3
DE,5,13,11,3
DE,5,14,4,1
DE,5,15,13,8
DE,5,16,4,2
DE,5,17,8,1
DE,5,18,15,2
DE,5,19,5,0
DE,5,20,3,1
DE,5,21,4,1
DE,5,22,2,1
DE,6,7,5,2
DE,6,8,5,2
DE,6,9,5,2
DE,6,10,10,2
DE,6,11,8,1
DE,6,12,9,3
DE,6,13,13,3
DE,6,14,7,2
DE,6,15,5,2
DE,6,16,4,2
DE,6,17,5,2
DE,6,18,7,4
DE,6,19,6,2
DE,6,20,11,4
DE,6,21,2,0
DE,6,22,5,2
FL,0,0,8,8
FL,0,1,9,9
