State,Weather_Condition,Severity,Count
SC,Mostly Cloudy,4,105
SC,Overcast,1,1
SC,Overcast,2,11602
SC,Overcast,3,3398
SC,Overcast,4,2
SC,Partly Cloudy,1,678
SC,Partly Cloudy,2,13700
SC,Partly Cloudy,3,3735
SC,Partly Cloudy,4,81
SD,Clear,2,1
SD,Fair,2,5
SD,Fair,4,1
SD,Overcast,2,3
TN,Clear,1,3
TN,Clear,2,2456
TN,Clear,3,1670
TN,Clear,4,8
TN,Fair,1,189
TN,Fair,2,10238
TN,Fair,3,3835
TN,Fair,4,137
TN,Mostly Cloudy,1,277
TN,Mostly Cloudy,2,14178
TN,Mostly Cloudy,3,6404
TN,Mostly Cloudy,4,95
TN,Overcast,1,1
TN,Overcast,2,5170
TN,Overcast,3,2713
TN,Overcast,4,10
TN,Partly Cloudy,1,196
TN,Partly Cloudy,2,7265
TN,Partly Cloudy,3,3351
TN,Partly Cloudy,4,61
TX,Clear,1,37
TX,Clear,2,49096
TX,Clear,3,16108
TX,Clear,4,97
TX,Fair,1,1314
TX,Fair,2,39730
TX,Fair,3,20540
TX,Fair,4,320
TX,Mostly Cloudy,1,648
TX,Mostly Cloudy,2,40343
TX,Mostly Cloudy,3,15274
TX,Mostly Cloudy,4,142
TX,Overcast,1,21
TX,Overcast,2,29203
TX,Overcast,3,9362
TX,Overcast,4,47
TX,Partly Cloudy,1,426
TX,Partly Cloudy,2,31224
TX,Partly Cloudy,3,11303
TX,Partly Cloudy,4,88
UT,Clear,1,3
UT,Clear,2,1975
UT,Clear,3,2302
UT,Clear,4,1
UT,Fair,1,120
UT,Fair,2,4465
UT,Fair,3,2417
UT,Fair,4,57
UT,Mostly Cloudy,1,29
UT,Mostly Cloudy,2,2352
UT,Mostly Cloudy,3,2257
UT,Mostly Cloudy,4,15
UT,Overcast,2,745
UT,Overcast,3,987
UT,Overcast,4,2
UT,Partly Cloudy,1,30
UT,Partly Cloudy,2,1753
UT,Partly Cloudy,3,1488
UT,Partly Cloudy,4,18
VA,Clear,1,5
VA,Clear,2,7517
VA,Clear,3,6874
VA,Clear,4,22
VA,Fair,1,615
VA,Fair,2,10916
VA,Fair,3,8524
VA,Fair,4,401
VA,Mostly Cloudy,1,190
VA,Mostly Cloudy,2,6637
VA,Mostly Cloudy,3,6687
VA,Mostly Cloudy,4,147
VA,Overcast,1,4
VA,Overcast,2,4659
VA,Overcast,3,4338
VA,Overcast,4,8
VA,Partly Cloudy,1,140
VA,Partly Cloudy,2,4015
VA,Partly Cloudy,3,4120
VA,Partly Cloudy,4,105
VT,Clear,2,42
VT,Clear,3,13
VT,Fair,1,1
VT,Fair,2,38
VT,Fair,3,39
VT,Fair,4,3
VT,Mostly Cloudy,2,35
VT,Mostly Cloudy,3,29
VT,Mostly Cloudy,4,3
VT,Overcast,2,43
VT,Overcast,3,17
VT,Partly Cloudy,2,15
VT,Partly Cloudy,3,13
VT,Partly Cloudy,4,3
WA,Clear,1,9
WA,Clear,2,6138
WA,Clear,3,3842
WA,Clear,4,8
WA,Fair,1,154
WA,Fair,2,4118
WA,Fair,3,3236
WA,Fair,4,58
WA,Mostly Cloudy,1,52
WA,Mostly Cloudy,2,5463
WA,Mostly Cloudy,3,3522
WA,Mostly Cloudy,4,25
WA,Overcast,1,5
WA,Overcast,2,5534
WA,Overcast,3,3438
WA,Overcast,4,5
WA,Partly Cloudy,1,25
WA,Partly Cloudy,2,2347
WA,Partly Cloudy,3,1542
WA,Partly Cloudy,4,15
WI,Clear,2,844
WI,Clear,3,1129
WI,Clear,4,3
WI,Fair,1,25
WI,Fair,2,1873
WI,Fair,3,1375
WI,Fair,4,42
WI,Mostly Cloudy,1,11
WI,Mostly Cloudy,2,1208
WI,Mostly Cloudy,3,1117
WI,Mostly Cloudy,4,19
WI,Overcast,2,684
WI,Overcast,3,884
WI,Partly Cloudy,1,5
WI,Partly Cloudy,2,652
WI,Partly Cloudy,3,689
WI,Partly Cloudy,4,22
WV,Clear,1,1
WV,Clear,2,22
WV,Clear,3,46
WV,Clear,4,5
WV,Fair,2,18
WV,Fair,3,22
WV,Fair,4,34
WV,Mostly Cloudy,2,11
WV,Mostly Cloudy,3,19
WV,Mostly Cloudy,4,19
WV,Overcast,2,13
WV,Overcast,3,41
WV,Overcast,4,4
WV,Partly Cloudy,2,6
WV,Partly Cloudy,3,7
